account_id,account_name,account_type,base_currency,custodian_account_num,portfolio_code,fund_code,is_active,client_id,strategy_type
ACC-0001,"Rodriguez, Figueroa and Sanchez Fund",Individual,USD,C-877572,PORT-0001,FND-0001,True,CLT-021,Equities
ACC-0002,Doyle Ltd Portfolio,Trust,USD,C-334053,PORT-0002,FND-0002,True,CLT-012,Cash
ACC-0003,"Mcclain, Miller and Henderson Fund",Institutional,USD,C-809570,PORT-0003,FND-0003,True,CLT-022,Equities
ACC-0004,Davis and Sons Fund,Fund,USD,C-719176,PORT-0004,FND-0004,True,CLT-018,Fixed Income
ACC-0005,"Guzman, Hoffman and Baldwin Fund",Endowment,USD,C-131244,PORT-0005,FND-0005,True,CLT-007,Derivatives
ACC-0006,"Gardner, Robinson and Lawrence Portfolio",Individual,USD,C-343962,PORT-0006,FND-0006,True,CLT-004,Equities
ACC-0007,Blake and Sons Fund,Fund,USD,C-688508,PORT-0007,FND-0007,True,CLT-001,Equities
ACC-0008,"Henderson, Ramirez and Lewis Trust",Institutional,USD,C-331148,PORT-0008,FND-0008,True,CLT-022,Equities
ACC-0009,Garcia-James Account,Endowment,USD,C-948749,PORT-0009,FND-0009,True,CLT-008,Equities
ACC-0010,Abbott-Munoz Portfolio,Individual,USD,C-832052,PORT-0010,FND-0010,True,CLT-022,Fixed Income
ACC-0011,Blair PLC Account,Endowment,USD,C-391369,PORT-0011,FND-0011,True,CLT-010,Fixed Income
ACC-0012,Dudley Group Portfolio,Institutional,USD,C-900581,PORT-0012,FND-0012,True,CLT-019,Equities
ACC-0013,Arnold Ltd Fund,Trust,USD,C-197251,PORT-0013,FND-0013,True,CLT-007,Cash
ACC-0014,"Mcclure, Ward and Lee Fund",Endowment,USD,C-476417,PORT-0014,FND-0014,True,CLT-020,Fixed Income
ACC-0015,Williams and Sons Account,Trust,USD,C-946335,PORT-0015,FND-0015,True,CLT-020,Derivatives
ACC-0016,Galloway-Wyatt Trust,Individual,USD,C-662275,PORT-0016,FND-0016,True,CLT-006,Derivatives
ACC-0017,James Group Trust,Individual,USD,C-182627,PORT-0017,FND-0017,True,CLT-001,Fixed Income
ACC-0018,"Flowers, Martin and Kelly Account",Fund,USD,C-969693,PORT-0018,FND-0018,True,CLT-009,Equities
ACC-0019,"Adams, Zuniga and Wong Account",Fund,USD,C-705397,PORT-0019,FND-0019,True,CLT-019,Fixed Income
ACC-0020,"Reid, Ferguson and Sanchez Fund",Institutional,USD,C-148050,PORT-0020,FND-0020,True,CLT-005,Fixed Income
ACC-0021,Gray-Mayo Account,Institutional,USD,C-183667,PORT-0021,FND-0021,True,CLT-020,Equities
ACC-0022,"Watts, Robinson and Nguyen Fund",Institutional,USD,C-498591,PORT-0022,FND-0022,True,CLT-006,Equities
ACC-0023,Perez Inc Trust,Trust,USD,C-766563,PORT-0023,FND-0023,True,CLT-013,Derivatives
ACC-0024,Morales-Jones Portfolio,Trust,USD,C-488162,PORT-0024,FND-0024,True,CLT-025,Equities
ACC-0025,"Walter, Edwards and Rios Portfolio",Trust,USD,C-802729,PORT-0025,FND-0025,True,CLT-023,Cash
ACC-0026,Wilkerson-Day Fund,Trust,USD,C-738720,PORT-0026,FND-0026,True,CLT-025,Fixed Income
ACC-0027,Baker and Sons Portfolio,Institutional,USD,C-271339,PORT-0027,FND-0027,True,CLT-021,Derivatives
ACC-0028,"Hoffman, Baker and Richards Trust",Endowment,USD,C-383060,PORT-0028,FND-0028,True,CLT-004,Equities
ACC-0029,"Ross, Robinson and Bright Portfolio",Fund,USD,C-817870,PORT-0029,FND-0029,True,CLT-016,Derivatives
ACC-0030,"Snyder, Campos and Callahan Fund",Trust,USD,C-340174,PORT-0030,FND-0030,True,CLT-008,Cash
