client_id,client_name,client_type
CLT-001,"Steele, Bowman and Martin Group",Endowment
CLT-002,Reed-Bass Capital,Endowment
CLT-003,Johnson-Carter Investments,Institutional
CLT-004,"Grant, Oneill and Medina Investments",Institutional
CLT-005,Alvarez Inc Holdings,Individual
CLT-006,"Edwards, Murphy and Escobar Investments",Family Office
CLT-007,Chan-Davidson Group,Family Office
CLT-008,Adams Ltd Group,Individual
CLT-009,Pope Group Partners,Family Office
CLT-010,Higgins LLC Holdings,Institutional
CLT-011,Skinner-Phillips Group,Institutional
CLT-012,Dawson-Raymond Holdings,Individual
CLT-013,Brady PLC Partners,Individual
CLT-014,Flores Inc Investments,Family Office
CLT-015,Wyatt-White Holdings,Endowment
CLT-016,Martinez-Johnson Partners,Family Office
CLT-017,"Clark, French and Andersen Investments",Endowment
CLT-018,"Franklin, Sparks and Hurley Holdings",Institutional
CLT-019,"Young, Harvey and Mitchell Investments",Institutional
CLT-020,Jones LLC Holdings,Individual
CLT-021,Reed PLC Capital,Family Office
CLT-022,Tate Inc Investments,Individual
CLT-023,"Smith, Pitts and Wiley Investments",Individual
CLT-024,"Barnes, Knight and Wong Capital",Institutional
CLT-025,Richmond-Carey Investments,Family Office
